Alraang ngi mii paa khat am dau.	Alraang ngi mii paa khat am dau.	0	2250	Alraang ngi mii paa khat am dau.
lou num da, plaa ptxao dau di.	lou num da, plaa ptxao dau di.	3080	5950	lou num da, plaa ptxao dau di.
mthungbi, mplaa moong da, mchui thungbi,	mthungbi, mplaa moong da, mchui thungbi,	7300	11370	mthungbi, mplaa moong da, mchui thungbi,
prvaan paam ki bursi yur rek kih aryung lam da nitii ki khiik	prvaan paam ki bursi yur rek kih aryung lam da nitii ki khiik	13380	16910	prvaan paam ki bursi yur rek kih aryung lam da nitii ki khiik
kchok lam dau di mrmaa dil lih	kchok lam dau di mrmaa dil lih	17460	19450	kchok lam dau di mrmaa dil lih
mthungbi, mhei choo-choo mplaa	mthungbi, mhei choo-choo mplaa	20420	22940	mthungbi, mhei choo-choo mplaa
paar avah	paar avah	23670	25120	paar avah
k'am kma' dei kchok da	k'am kma' dei kchok da	26170	27830	k'am kma' dei kchok da
‘Talu ki een daat’ mlou veen rek mkheel in thungbi ngu,	‘Talu ki een daat’ mlou veen rek mkheel in thungbi ngu,	27890	30730	‘Talu ki een daat’ mlou veen rek mkheel in thungbi ngu,
mlou veen rek va ngu,	mlou veen rek va ngu,	31100	32660	mlou veen rek va ngu,
Yaan nih aptxhim muh prvaan paam ki bursi yur rek <kryung kchok lam pi'i>, maan nih	Yaan nih aptxhim muh prvaan paam ki bursi yur rek <kryung kchok lam pi'i>, maan nih	32790	37190	Yaan nih aptxhim muh prvaan paam ki bursi yur rek <kryung kchok lam pi'i>, maan nih
mdo prut kchoon,’ thi da thee dau di.	mdo prut kchoon,’ thi da thee dau di.	37470	39530	mdo prut kchoon,’ thi da thee dau di.
nii khat vah	nii khat vah	39820	41120	nii khat vah
mroong yaar rih	mroong yaar rih	41410	42870	mroong yaar rih
vaa da mptxhim thungbi bursi yur rek a aryun txum lam da	vaa da mptxhim thungbi bursi yur rek a aryun txum lam da	43130	46750	vaa da mptxhim thungbi bursi yur rek a aryun txum lam da
plaa mkhii bing laan in nih, khat kyoong kchok dau di.	plaa mkhii bing laan in nih, khat kyoong kchok dau di.	47880	51270	plaa mkhii bing laan in nih, khat kyoong kchok dau di.
mthungbi inn thah arvang txhii da, ava' bursi yur a mnuun prthuu da,	mthungbi inn thah arvang txhii da, ava' bursi yur a mnuun prthuu da,	51580	55830	mthungbi inn thah arvang txhii da, ava' bursi yur a mnuun prthuu da,
mpduk le' vah, mnao khat am dau di	mpduk le' vah, mnao khat am dau di	56250	59250	mpduk le' vah, mnao khat am dau di
mthungbi, lou thah kchet ava' tun	mthungbi, lou thah kchet ava' tun	59460	62600	mthungbi, lou thah kchet ava' tun
bursi yur a msnuu lik-lik lou thah chet da,	bursi yur a msnuu lik-lik lou thah chet da,	62600	65970	bursi yur a msnuu lik-lik lou thah chet da,
au laan nih, inn thang vah mnao let na' rang a avah,	au laan nih, inn thang vah mnao let na' rang a avah,	65970	69070	au laan nih, inn thang vah mnao let na' rang a avah,
bursi yur ktxhaa mnuu ktxhaa	bursi yur ktxhaa mnuu ktxhaa	69400	71560	bursi yur ktxhaa mnuu ktxhaa
plet na' kchok da, mthungbi nii khat vah,	plet na' kchok da, mthungbi nii khat vah,	71700	73940	plet na' kchok da, mthungbi nii khat vah,
mpaan vah, ‘Nang ngi nao arung ngu nei yih	mpaan vah, ‘Nang ngi nao arung ngu nei yih	74120	76970	mpaan vah, ‘Nang ngi nao arung ngu nei yih
ou thah tuni vah hei chet nih,’ di da mthungbi,	ou thah tuni vah hei chet nih,’ di da mthungbi,	77720	80760	ou thah tuni vah hei chet nih,’ di da mthungbi,
mnuun nih ava' nit vah nao avah nao a txap-txap da,	mnuun nih ava' nit vah nao avah nao a txap-txap da,	81240	84530	mnuun nih ava' nit vah nao avah nao a txap-txap da,
‘Talu ki een daat,’ mdit.	‘Talu ki een daat,’ mdit.	84580	86140	‘Talu ki een daat,’ mdit.
hava' khat mpiik khat mpiik, ‘Ha' kmeh ha' kmeh,’ mdit.
mbih tung vah,	hava' khat mpiik khat mpiik, ‘Ha' kmeh ha' kmeh,’ mdit.
mbih tung vah,	86240	89350	hava' khat mpiik khat mpiik, ‘Ha' kmeh ha' kmeh,’ mdit.
mbih tung vah,
mrkil khat thah vang da msut thungbi	mrkil khat thah vang da msut thungbi	90340	92040	mrkil khat thah vang da msut thungbi
mpthlaa dei dau mthungbi
mnao a avah pii dau mthungbi tun vah	mpthlaa dei dau mthungbi
mnao a avah pii dau mthungbi tun vah	92170	95720	mpthlaa dei dau mthungbi
mnao a avah pii dau mthungbi tun vah
mpthlaa avah ren nih	mpthlaa avah ren nih	95840	97620	mpthlaa avah ren nih
prpaal da prvaan laai thah hung yuung sii dau,	prpaal da prvaan laai thah hung yuung sii dau,	97790	100550	prpaal da prvaan laai thah hung yuung sii dau,
inn thah mrvan knlet thungbi,	inn thah mrvan knlet thungbi,	100620	103100	inn thah mrvan knlet thungbi,
mnao avah	mnao avah	103490	104400	mnao avah
