Ungta	Ungta	0	1110	Ungta
Mma ngi thee da	Mma ngi thee da	1230	2610	Mma ngi thee da
ung ngu mnao paa ava ngi	ung ngu mnao paa ava ngi	8324	10636	ung ngu mnao paa ava ngi
mpaa hin thee da	mpaa hin thee da	10738	13352	mpaa hin thee da
“Apaa	“Apaa	13727	14602	“Apaa
nei ktum alrou avah	nei ktum alrou avah	14915	17778	nei ktum alrou avah
mhei pii cha	mhei pii cha	18357	19414	mhei pii cha
ungta mdo thlooi rek avah	ungta mdo thlooi rek avah	20380	22851	ungta mdo thlooi rek avah
mkniing in nih them pik lam da,	mkniing in nih them pik lam da,	23800	26675	mkniing in nih them pik lam da,
ung ngu	ung ngu	27670	28851	ung ngu
nii mruk	nii mruk	29403	30574	nii mruk
dil thah mchaa paa	dil thah mchaa paa	30732	32357	dil thah mchaa paa
kmoo vah mtum mkheng	kmoo vah mtum mkheng	32505	34732	kmoo vah mtum mkheng
prkuk thi da	prkuk thi da	35556	36590	prkuk thi da
khupaam lam klaa <thah> pveet chda	khupaam lam klaa <thah> pveet chda	37733	41096	khupaam lam klaa <thah> pveet chda
ava' <thah> mma	ava' <thah> mma	42175	43886	ava' <thah> mma
alrou vah do	alrou vah do	45005	46698	alrou vah do
kpsit kmah	kpsit kmah	47068	48085	kpsit kmah
prtlai	prtlai	48699	49579	prtlai
trkrep da,	trkrep da,	49795	51091	trkrep da,
ungta mma ngi doo khimkhei	ungta mma ngi doo khimkhei	52226	54954	ungta mma ngi doo khimkhei
mprtlai dok dil thah	mprtlai dok dil thah	55954	58232	mprtlai dok dil thah
khupaam ava'	khupaam ava'	59079	60778	khupaam ava'
pooi tham	pooi tham	61358	63369	pooi tham
klin lang-lang khat am da	klin lang-lang khat am da	63556	65613	klin lang-lang khat am da
ungta mma ngi	ungta mma ngi	66312	68033	ungta mma ngi
kkriing ptxhun d	kkriing ptxhun d	68636	70494	kkriing ptxhun d
ava' lei yih mma ngi chet da	ava' lei yih mma ngi chet da	71505	74391	ava' lei yih mma ngi chet da
khupaam ava' thung ki	khupaam ava' thung ki	75056	76761	khupaam ava' thung ki
mii laai khat hin nih	mii laai khat hin nih	77244	80102	mii laai khat hin nih
mma ava' dil thang ngi	mma ava' dil thang ngi	80670	83346	mma ava' dil thang ngi
vak kpmaal sii da	vak kpmaal sii da	83607	85846	vak kpmaal sii da
sii da ungta vak rek do chaak	sii da ungta vak rek do chaak	86773	90351	sii da ungta vak rek do chaak
vak then ava'	vak then ava'	90614	92341	vak then ava'
kdung ngi chaa chnum da	kdung ngi chaa chnum da	92630	95505	kdung ngi chaa chnum da
ung ngu mma ava'	ung ngu mma ava'	96300	98192	ung ngu mma ava'
kuu mii khat le ngi doo khat leh	kuu mii khat le ngi doo khat leh	98948	102300	kuu mii khat le ngi doo khat leh
pii chmeh,
pdainu	pii chmeh,
pdainu	102431	105216	pii chmeh,
pdainu
mma mtheina ngi hanto' thee da,	mma mtheina ngi hanto' thee da,	105505	109499	mma mtheina ngi hanto' thee da,
Knem mih kpaa	Knem mih kpaa	109693	111477	Knem mih kpaa
do vai sraa oor rek vah	do vai sraa oor rek vah	112562	115397	do vai sraa oor rek vah
thenpen kkleem	thenpen kkleem	115699	118125	thenpen kkleem
lut-lut tih chaa lam im de	lut-lut tih chaa lam im de	118721	121608	lut-lut tih chaa lam im de
pdainu ‘Nei a hava'	pdainu ‘Nei a hava'	122431	124272	pdainu ‘Nei a hava'
thah pooi ktham mih kmaang chrah	thah pooi ktham mih kmaang chrah	124829	127517	thah pooi ktham mih kmaang chrah
kthee a, nei yih	kthee a, nei yih	127795	130340	kthee a, nei yih
krlou ni vang nu krlou ni rah	krlou ni vang nu krlou ni rah	131011	134090	krlou ni vang nu krlou ni rah
kpaa hin vang ni rah ung ngu mhin thee chnih,	kpaa hin vang ni rah ung ngu mhin thee chnih,	134499	139255	kpaa hin vang ni rah ung ngu mhin thee chnih,
‘Apaa, prvaan le' nah amaai txhuum mih	‘Apaa, prvaan le' nah amaai txhuum mih	139709	144272	‘Apaa, prvaan le' nah amaai txhuum mih
nei yih pnuu krvee chaak a;	nei yih pnuu krvee chaak a;	144857	148079	nei yih pnuu krvee chaak a;
nah achaa paa rang a	nah achaa paa rang a	148428	150698	nah achaa paa rang a
krhuui chmaang, asraa oor rek khat lu-lu ngi mhei kool cha'	krhuui chmaang, asraa oor rek khat lu-lu ngi mhei kool cha'	150999	157158	krhuui chmaang, asraa oor rek khat lu-lu ngi mhei kool cha'
ungta mma ngi rip daat da mpaa hin nih arvang da, pdainu	ungta mma ngi rip daat da mpaa hin nih arvang da, pdainu	158206	164603	ungta mma ngi rip daat da mpaa hin nih arvang da, pdainu
mma ngi arvang da leer khat ki m'am daat arlaan nih, mpaa ngi dei da ung ngu von sat loo chda	mma ngi arvang da leer khat ki m'am daat arlaan nih, mpaa ngi dei da ung ngu von sat loo chda	167682	179968	mma ngi arvang da leer khat ki m'am daat arlaan nih, mpaa ngi dei da ung ngu von sat loo chda
prchen da arpom thi da put da,	prchen da arpom thi da put da,	180762	183793	prchen da arpom thi da put da,
ung ngu mchaa paa ngi mpaa hin nih thee da, “Apaa, nei yih prvaan le'	ung ngu mchaa paa ngi mpaa hin nih thee da, “Apaa, nei yih prvaan le'	184301	190110	ung ngu mchaa paa ngi mpaa hin nih thee da, “Apaa, nei yih prvaan le'
nah amaai txhuum mih pnuu krvee chaak a, nei yih nah achaa paa rang a krhuui chmaang,” pdainu	nah amaai txhuum mih pnuu krvee chaak a, nei yih nah achaa paa rang a krhuui chmaang,” pdainu	190380	199253	nah amaai txhuum mih pnuu krvee chaak a, nei yih nah achaa paa rang a krhuui chmaang,” pdainu
mpaa ngi msraa oor rek hin thee da, “Kbei yih	mpaa ngi msraa oor rek hin thee da, “Kbei yih	199540	204333	mpaa ngi msraa oor rek hin thee da, “Kbei yih
doona ktxhaa arvan sin in rah,	doona ktxhaa arvan sin in rah,	204524	207270	doona ktxhaa arvan sin in rah,
mleen apnaak in, ungta mkhut leen pnthlaa khat apnaak in	mleen apnaak in, ungta mkhut leen pnthlaa khat apnaak in	207904	215095	mleen apnaak in, ungta mkhut leen pnthlaa khat apnaak in
ungta mkhuu tun nih khung kok rek apnaak in;”
thi in rah	ungta mkhuu tun nih khung kok rek apnaak in;”
thi in rah	215523	223031	ungta mkhuu tun nih khung kok rek apnaak in;”
thi in rah
sil suun kmar dam khat arvan sin in rah	sil suun kmar dam khat arvan sin in rah	223523	228537	sil suun kmar dam khat arvan sin in rah
ah, ak'ee you in, neen nih chaa in chrah knpaa in cheh	ah, ak'ee you in, neen nih chaa in chrah knpaa in cheh	229063	235476	ah, ak'ee you in, neen nih chaa in chrah knpaa in cheh
mlei a kchaa paa hava' kdi you kcha'	mlei a kchaa paa hava' kdi you kcha'	235793	239729	mlei a kchaa paa hava' kdi you kcha'
thung ki kring nool, mma avah kmaang kcha'	thung ki kring nool, mma avah kmaang kcha'	239967	243904	thung ki kring nool, mma avah kmaang kcha'
thung ki kdo phaak chaak ungta mmaan nih knpaa ptxhun lam da.’	thung ki kdo phaak chaak ungta mmaan nih knpaa ptxhun lam da.’	244396	250602	thung ki kdo phaak chaak ungta mmaan nih knpaa ptxhun lam da.’
