Tuu vaari khat ayu sit pik nih, hm, ching khat a	Tuu vaari khat ayu sit pik nih, hm, ching khat a	70	5320	Tuu vaari khat ayu sit pik nih, hm, ching khat a
hm, ching khat a, ching loon, loon thah ding a knem mih moong meh, noom lu kmoong,
ding lung a am paa meh ava' thung thang ngi ding bul khat kmoong pi'i To a,
ava' ding bul a ngi naaspati ding bul hep a,	hm, ching khat a, ching loon, loon thah ding a knem mih moong meh, noom lu kmoong,
ding lung a am paa meh ava' thung thang ngi ding bul khat kmoong pi'i To a,
ava' ding bul a ngi naaspati ding bul hep a,	5829	19021	hm, ching khat a, ching loon, loon thah ding a knem mih moong meh, noom lu kmoong,
ding lung a am paa meh ava' thung thang ngi ding bul khat kmoong pi'i To a,
ava' ding bul a ngi naaspati ding bul hep a,
mbih ava' thung thang vah, mtii thang ngi, talu daat a boor kaang ne	mbih ava' thung thang vah, mtii thang ngi, talu daat a boor kaang ne	19595	24552	mbih ava' thung thang vah, mtii thang ngi, talu daat a boor kaang ne
boor kaang khat ka k'am daat, 
mthungbi tung vah m'am bong thungbi, keiraak khat rukka am daat da, ne,	boor kaang khat ka k'am daat, 
mthungbi tung vah m'am bong thungbi, keiraak khat rukka am daat da, ne,	24638	29681	boor kaang khat ka k'am daat, 
mthungbi tung vah m'am bong thungbi, keiraak khat rukka am daat da, ne,
mbih mii paa khat krvaa pi,
mii paa khat arvaa da hang kal da, ava'	mbih mii paa khat krvaa pi,
mii paa khat arvaa da hang kal da, ava'	29744	34425	mbih mii paa khat krvaa pi,
mii paa khat arvaa da hang kal da, ava'
naaspati rek khimkhei a yao da mdo--

 dulti thang ngi mdo thiik,
dulti thang ngi thii da anto' yao da m'am daat laan nih	naaspati rek khimkhei a yao da mdo--

 dulti thang ngi mdo thiik,
dulti thang ngi thii da anto' yao da m'am daat laan nih	34690	41243	naaspati rek khimkhei a yao da mdo--

 dulti thang ngi mdo thiik,
dulti thang ngi thii da anto' yao da m'am daat laan nih
nao khat krvaa'u, cycle thou da ngi,	nao khat krvaa'u, cycle thou da ngi,	41953	44511	nao khat krvaa'u, cycle thou da ngi,
cycle thou da anto' krvaa, krvaa, krvaa,	cycle thou da anto' krvaa, krvaa, krvaa,	45006	47227	cycle thou da anto' krvaa, krvaa, krvaa,
a' kpruu mo,	a' kpruu mo,	47638	49112	a' kpruu mo,
kpruu rang ki mo a' nao vah mo ava' mii paa chaa paa varle	kpruu rang ki mo a' nao vah mo ava' mii paa chaa paa varle	49135	51430	kpruu rang ki mo a' nao vah mo ava' mii paa chaa paa varle
au thung ki boorkaang khat avah han lou da	au thung ki boorkaang khat avah han lou da	52221	54191	au thung ki boorkaang khat avah han lou da
mcycle duu thang ngi mdo thiik	mcycle duu thang ngi mdo thiik	54334	55851	mcycle duu thang ngi mdo thiik
