Mii paa khat a, ah,	Mii paa khat a, ah,	60	1740	Mii paa khat a, ah,
aa	aa	2040	3170	aa
talu tdit rang ngo? lah mii lam ki vaari pi'i,	talu tdit rang ngo? lah mii lam ki vaari pi'i,	3360	6340	talu tdit rang ngo? lah mii lam ki vaari pi'i,
mii paa khat a,	mii paa khat a,	6590	8260	mii paa khat a,
a' luu hup naa da, ah, lah	a' luu hup naa da, ah, lah	8390	12230	a' luu hup naa da, ah, lah
neen paam ki	neen paam ki	12890	14520	neen paam ki
ay ching lu thung thang ngi haai kyao rang ki,	ay ching lu thung thang ngi haai kyao rang ki,	14710	17640	ay ching lu thung thang ngi haai kyao rang ki,
ah, krvaa pi,	ah, krvaa pi,	18020	20360	ah, krvaa pi,
arvaa da ding a,	arvaa da ding a,	20920	22450	arvaa da ding a,
ava' haai avah talu haai yuh mdit varle hang loon da ngi	ava' haai avah talu haai yuh mdit varle hang loon da ngi	22570	26150	ava' haai avah talu haai yuh mdit varle hang loon da ngi
mdo yao pi'i,  yao da ngi anto' khat-khat aryu pthlaa thi da,	mdo yao pi'i,  yao da ngi anto' khat-khat aryu pthlaa thi da,	26530	30110	mdo yao pi'i,  yao da ngi anto' khat-khat aryu pthlaa thi da,
anto' aryu pthlaa da aryu pthlaa da,
au thung ki a tung ngu	anto' aryu pthlaa da aryu pthlaa da,
au thung ki a tung ngu	30500	34040	anto' aryu pthlaa da aryu pthlaa da,
au thung ki a tung ngu
aryun txum da,	aryun txum da,	35070	36650	aryun txum da,
chom thi da ngi au boor	chom thi da ngi au boor	36730	38630	chom thi da ngi au boor
hep lu mdo arhei sin thung thang ngi mkheng mdo prsim pi'i,	hep lu mdo arhei sin thung thang ngi mkheng mdo prsim pi'i,	38740	42270	hep lu mdo arhei sin thung thang ngi mkheng mdo prsim pi'i,
prsim da mthungbi, chaai knii avah kdim dok,	prsim da mthungbi, chaai knii avah kdim dok,	42700	45580	prsim da mthungbi, chaai knii avah kdim dok,
chaai knii a dim dok da mthungbi ren nih hang kal nool da mrson mryuk yao nool pi,	chaai knii a dim dok da mthungbi ren nih hang kal nool da mrson mryuk yao nool pi,	46460	50320	chaai knii a dim dok da mthungbi ren nih hang kal nool da mrson mryuk yao nool pi,
